,LoanStatus,Source,ModifiedCreditScore,ModifiedBankruptcyScore,EmploymentStatus,EmployedMonths,TotalMonthlyIncome,PrimeMonthlyLiability,PrimeMonthlyRent,TotalMonthlyDebtBeforeLoan,VehicleYear,VehicleMake,VehicleMileage,isNewVehicle,TotalVehicleValue,AmountRequested,DownPayment,Loanterm,OccupancyStatus,OccupancyDuration,EstimatedMonthlyPayment,NumberOfOpenRevolvingAccounts,LTV,RequestType,DTI,MemberIndicator,CoApplicantIndicator
1750,Approved,GATEWAY,748,327,Retired,0,4066.67,625.0,0.0,625.0,1,HYUNDAI,125.0,Y,31375.0,30864.0,545.0,84.0,OWN,324,416.88,15.0,0.9837,INDIRECT,0.15369,N,N
1752,Approved,GATEWAY,680,368,Employed,48,3000.0,6.0,350.0,356.0,2,MITSUBISHI,12.0,Y,24450.0,31448.0,2000.0,84.0,RENT,48,459.82,2.0,1.2862,CAR SALE,0.11867,N,N
1756,Declined,GATEWAY,574,179,Employed,30,2602.92,431.0,300.0,731.0,9,NISSAN,67607.0,N,13275.0,14855.0,1218.0,72.0,RENT,120,312.08,4.0,1.119,INDIRECT,0.28084,N,N
1757,Approved,LENDER,721,362,Employed,24,2114.0,25.0,400.0,425.0,0,UNDECIDED,0.0,Y,20902.6956131264,10000.0,0.0,66.0,RENT,12,177.73,4.0,0.9986677530706456,DEALER PURCHASE,0.20104,N,N
1761,Approved,GATEWAY,781,356,Employed,300,9000.0,3099.0,0.0,3099.0,4,GMC,31884.0,N,33825.0,18339.0,10000.0,66.0,BUYING,4,301.08,6.0,0.5421,INDIRECT,0.34433,Y,Y
1762,Approved,GATEWAY,637,303,Employed,48,4000.0,343.0,500.0,843.0,4,HONDA,17.0,Y,20110.0,19940.0,3000.0,72.0,RENT,24,335.62,1.0,0.9915,INDIRECT,0.21075,N,N
1763,Declined,LENDER,595,142,Employed,15,2539.33,389.0,844.0,1233.0,4,NISSAN,49715.0,N,12875.0,21600.0,0.0,84.0,RENT,24,457.46,3.0,1.6776,REFINANCE-PROMO,0.48556,N,N
1764,Declined,GATEWAY,644,325,Employed,48,2166.67,25.0,300.0,325.0,9,NISSAN,82629.0,N,10300.0,12009.0,0.0,72.0,LIVEWITHPARENTS,24,209.72,1.0,1.1659,INDIRECT,0.15,N,N
1765,Approved,GATEWAY,816,372,Employed,24,27500.0,3451.0,0.0,3451.0,3,MERCEDES-BENZ,24026.0,N,70800.0,64400.0,7500.0,72.0,BUYING,28,1012.32,11.0,0.9096,INDIRECT,0.12549,N,Y
1766,Declined,GATEWAY,606,312,Employed,1,5000.0,128.0,0.0,128.0,5,CHEVROLET,9733.0,N,19050.0,20043.0,1000.0,72.0,OWN,360,404.48,5.0,1.0521,INDIRECT,0.0256,N,N
1774,Declined,LENDER,620,183,Employed,14,6606.86,998.0,300.0,1598.0,2,TOYOTA,9.0,Y,16225.0,22304.46,0.0,60.0,OTHER,24,486.48,2.0,1.3746,DEALER PURCHASE,0.24187,N,Y
1775,Declined,GATEWAY,707,396,Employed,27,3983.0,240.46,300.0,540.46,3,JEEP,24865.0,N,23800.0,23187.0,2500.0,75.0,LIVEWITHPARENTS,218,357.52,1.0,0.9742,INDIRECT,0.13569,N,N
